epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7866,1.64395,3.63698,1.63783,0.20631,0.16363,0.17625,0.09779,1.47234,2.86115,1.58117,0.000254003,0.000254003,0.000254003
2,24.1307,1.5132,2.59531,1.53463,0.42128,0.46235,0.42849,0.22715,1.6076,2.34163,1.71966,0.000500232,0.000500232,0.000500232
3,35.6892,1.48901,2.16253,1.51001,0.60744,0.5053,0.54459,0.28552,1.5478,2.05811,1.59441,0.00073631,0.00073631,0.00073631
4,46.7427,1.4652,1.90776,1.49206,0.70367,0.50462,0.6298,0.32512,1.5224,1.82339,1.59879,0.000723321,0.000723321,0.000723321
5,57.8936,1.40996,1.72444,1.44145,0.71098,0.65535,0.7084,0.38813,1.49175,1.53646,1.57004,0.000708095,0.000708095,0.000708095
6,68.8034,1.40607,1.65896,1.43398,0.72398,0.62432,0.72148,0.39655,1.52446,1.48509,1.59024,0.000692869,0.000692869,0.000692869
7,79.8036,1.3611,1.52289,1.39987,0.7798,0.62578,0.72697,0.37813,1.55593,1.40304,1.60158,0.000677643,0.000677643,0.000677643
8,91.7751,1.35664,1.41997,1.38181,0.75656,0.67949,0.75156,0.41977,1.49095,1.3556,1.52941,0.000662417,0.000662417,0.000662417
9,103.724,1.29806,1.32483,1.3396,0.73812,0.76611,0.78475,0.42461,1.51385,1.2901,1.54166,0.00064719,0.00064719,0.00064719
10,116.168,1.30916,1.30533,1.35446,0.79394,0.70161,0.77708,0.42569,1.49502,1.28874,1.52845,0.000631964,0.000631964,0.000631964
11,128.252,1.28027,1.25772,1.33361,0.82192,0.72044,0.79182,0.44676,1.47649,1.22988,1.52077,0.000616738,0.000616738,0.000616738
12,140.671,1.22155,1.1657,1.28997,0.78535,0.76725,0.81002,0.43657,1.49762,1.15428,1.53827,0.000601512,0.000601512,0.000601512
13,153.7,1.21586,1.13868,1.28376,0.81518,0.7076,0.78724,0.42193,1.59074,1.25214,1.59666,0.000586286,0.000586286,0.000586286
14,165.96,1.20344,1.07188,1.27511,0.84109,0.72961,0.81011,0.44849,1.51646,1.11207,1.52567,0.000571059,0.000571059,0.000571059
15,177.899,1.1839,1.07902,1.26824,0.80384,0.72214,0.79227,0.43334,1.57455,1.18077,1.60609,0.000555833,0.000555833,0.000555833
16,189.917,1.16557,1.0191,1.2403,0.79467,0.76705,0.81656,0.44586,1.51534,1.08823,1.5463,0.000540607,0.000540607,0.000540607
17,202.452,1.14996,0.98345,1.23934,0.8323,0.72233,0.80816,0.43123,1.57235,1.13524,1.60839,0.000525381,0.000525381,0.000525381
18,215.163,1.12649,0.96496,1.22003,0.78857,0.7459,0.81193,0.4458,1.52466,1.12527,1.57082,0.000510155,0.000510155,0.000510155
19,228.272,1.12365,0.93557,1.21743,0.81627,0.73987,0.81385,0.44544,1.49118,1.0819,1.53558,0.000494928,0.000494928,0.000494928
20,241.241,1.09421,0.92469,1.19099,0.8465,0.72547,0.81699,0.43924,1.55049,1.09792,1.57478,0.000479702,0.000479702,0.000479702
21,253.387,1.09016,0.89076,1.19871,0.88069,0.77178,0.84754,0.46941,1.50071,1.03231,1.52175,0.000464476,0.000464476,0.000464476
22,265.616,1.07359,0.88852,1.18822,0.86537,0.77312,0.84846,0.46871,1.53228,1.00276,1.55188,0.00044925,0.00044925,0.00044925
